No.;No. Abklatsch;No. Graf (No. Makam);Kode Katalog;Sisi Nisan;Kondisi;Tanggal Pembuatan;Tempat Penemuan;Kota/Kabupaten;Kecamatan;Mukim;Gampong;Meunasah;Bentuk Umum;Tinggi;Lebar;Posisi;Bentuk;Motif;Ukuran (cm);Jenis Nisan;Isi Inkripsi;Aksara;Bahasa;Khat;Tanggal Pendataan;BOKS;Tanggal Masuk Boks;Keterangan
1;553;I;;1 Utara;Baik;1912 Agustus 8;Langs den Colonneweg;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Bersayap;50;39;Atas;Mahkota;Floral;39x23;Kaligrafi dan Hiasan;Kalimat Syahadat dan Ayat Al-Quran;Arab;Arab;Tsuluts;29-May-24;Boks 1;22-Oct-24;
2;555;I;;3 Selatan;Baik;1912 Agustus 8;Langs den Colonneweg;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Bersayap;63;46;Atas;Mahkota;Floral;33x46;Kaligrafi dan Hiasan;Kalimat Syahadat dan Ayat Al-Quran;Arab;Arab;Tsuluts;29-May-24;Boks 1;22-Oct-24;
3;557;I;;5 Selatan;Baik;1912 Agustus 8;Langs den Colonneweg;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Bersayap;63;46;Atas;Mahkota;Floral;33x46;Kaligrafi dan Hiasan;Pujian;Arab;Arab;Tsuluts;29-May-24;Boks 1;22-Oct-24;
4;559;I;;7 Utara;Baik;1912 Agustus 8;Langs den Colonneweg;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Bersayap;63;46;Atas;Mahkota;Floral;33x46;Kaligrafi dan Hiasan;-;Arab;Arab;Tsuluts;29-May-24;Boks 1;22-Oct-24;
5;561;II;abk.ach.bm.ldc.ii;1 Utara;Baik;1912 Agustus 8;Langs den Colonneweg;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Bersayap;66;31,5;-;-;-;-;Kaligrafi;Ayat Al-Quran;Arab;Arab;-;29-May-24;Boks 1;22-Oct-24;
6;562;II;abk.ach.bm.ldc.ii;5 Selatan;Baik;1912 Agustus 8;Langs den Colonneweg;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Bersayap;72;31;-;-;-;-;Kaligrafi;-;Arab;Arab;-;29-May-24;Boks 1;22-Oct-24;
7;568;IV;;2 Timur;Baik;1912 September;Makam Toengoe Sidi;Aceh Utara;Samudera;Blang Me;Tjot Astana;Kroeëng;Nisan Puncak Kurawal;36;14;-;-;-;-;Kaligrafi;-;Arab;Arab;-;07-May-24;Boks 1;22-Oct-24;
8;572;IV;;6 Barat;Baik;1912 September;Makam Toengoe Sidi;Aceh Utara;Samudera;Blang Me;Tjot Astana;Kroeëng;Nisan Puncak Kurawal;36;14;Seluruh Sisi;Bingkai;-;32x10;Hiasan;-;-;-;-;07-May-24;Boks 1;22-Oct-24;
9;578;XXI;;5 Selatan;Baik;1912 Mei;Makam Koeta Kaeruëng;Aceh Utara;Samudera;Blang Me;Tjot Astana;Kroeëng;Persegi;22,5;22;-;-;-;-;Kaligrafi;-;Arab;Arab;-;20-May-24;Boks 1;22-Oct-24;
10;592;I (dubblegraf) makam ganda;;1 Utara;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Puncak Kurawal;54,5;28;"Atas;Bawah";Vas & Panil;Floral & Geometris;"15,5x12,5;15,5x7";Kaligrafi dan Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;28-May-24;Boks 1;22-Oct-24;
