nomor_abklats;nomor_graf;sisi_nisan;kondisi;tanggal_pembuatan;tempat_penemuan;kota;kecamatan;mukim;gampong;meunasah;bentuk_umum;panjang;lebar;ornamentasi_posisi;ornamentasi_bentuk;ornamentasi_motif;ornamentasi_ukuran;jenis_nisan;tanggal_pendataan;boks_penyimpanan
553;I;1 Utara;1 Utara;1912 Agustus 8;Langs den Colonneweg;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Bersayap;50;39;Atas;Mahkota;Floral;39x23;Kaligrafi dan Hiasan;29-May-24;Boks 1
555;I;3 Selatan;3 Selatan;1912 Agustus 8;Langs den Colonneweg;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Bersayap;63;46;Atas;Mahkota;Floral;33x46;Kaligrafi dan Hiasan;29-May-24;Boks 1
557;I;5 Selatan;5 Selatan;1912 Agustus 8;Langs den Colonneweg;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Bersayap;63;46;Atas;Mahkota;Floral;33x46;Kaligrafi dan Hiasan;29-May-24;Boks 1
559;I;7 Utara;7 Utara;1912 Agustus 8;Langs den Colonneweg;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Bersayap;63;46;Atas;Mahkota;Floral;33x46;Kaligrafi dan Hiasan;29-May-24;Boks 1
561;II;1 Utara;1 Utara;1912 Agustus 8;Langs den Colonneweg;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Bersayap;66;31,5;-;-;-;-;Kaligrafi;29-May-24;Boks 1
562;II;5 Selatan;5 Selatan;1912 Agustus 8;Langs den Colonneweg;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Bersayap;72;31;-;-;-;-;Kaligrafi;29-May-24;Boks 1
568;IV;2 Timur;2 Timur;1912 September;Makam Toengoe Sidi;Aceh Utara;Samudera;Blang Me;Tjot Astana;Kroeëng;Nisan Puncak Kurawal;36;14;-;-;-;-;Kaligrafi;07-May-24;Boks 1
572;IV;6 Barat;6 Barat;1912 September;Makam Toengoe Sidi;Aceh Utara;Samudera;Blang Me;Tjot Astana;Kroeëng;Nisan Puncak Kurawal;36;14;Seluruh Sisi;Bingkai;-;32x10;Hiasan;07-May-24;Boks 1
578;XXI;5 Selatan;5 Selatan;1912 Mei;Makam Koeta Kaeruëng;Aceh Utara;Samudera;Blang Me;Tjot Astana;Kroeëng;Persegi;22,5;22;-;-;-;-;Kaligrafi;20-May-24;Boks 1
592;I (dubblegraf) makam ganda;1 Utara;1 Utara;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Puncak Kurawal;54,5;28;"Atas;Bawah";Vas & Panil;Floral & Geometris;"15,5x12,5;15,5x7";Kaligrafi dan Hiasan;28-May-24;Boks 1
593;I;2 Timur;2 Timur;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;47;16;"Atas;Bawah";Bingkai & Panil;Floral & Geometris;"32,5x10;13x7";Hiasan;07-May-24;Boks 1
594;I;3 Selatan;3 Selatan;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;53;27;"Atas;Bawah";Vas & Panil;Floral & Geometris;"12x8;25,5x7";Kaligrafi dan Hiasan;07-May-24;Boks 1
595;I;4 Barat;4 Barat;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;44,5;15,5;"Atas;Bawah";Bingkai & Panil;Floral & Geometris;"32x10,5;13,5x7";Hiasan;28-May-24;Boks 1
596;I;5 Selatan;5 Selatan;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Puncak Kurawal;53;27;"Atas;Bawah";Vas & Panil;Floral & Geometris;"13x13;25,5x7";Kaligrafi dan Hiasan;28-May-24;Boks 1
597;I;6 Barat;6 Barat;1912 Agustus 8;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;43;15;Seluruh Sisi;Panil;Floral & Geometris;"30x9,5;13,5x7,5";Hiasan;29-May-24;Boks 1
598;I;7 Utara;7 Utara;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;53;29;"Atas;Bawah";Vas & Panil;Floral & Geometris;"12x8;25x7";Kaligrafi dan Hiasan;29-May-24;Boks 1
599;I;8 Timur;8 Timur;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;45;16;Seluruh Sisi;Panil;Floral & Geometris;"32x10,5;13,5x7";Hiasan;29-May-24;Boks 1
600;I;9  Utara;9  Utara;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;51;28;"Atas;Bawah";Vas & Panil;Floral dan Geometris;"12x8;25x7";Kaligrafi dan Hiasan;13-May-24;Boks 1
601;I;10 Timur;10 Timur;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Stele;44;15,5;"Atas;Bawah";Panil;Floral & Geometris;"32x10;13x7";Kaligrafi dan Hiasan;13-May-24;Boks 1
602;I;11 Selatan;11 Selatan;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Puncak Kurawal;53;29;"Atas;Bawah";Vas & Panil;Floral dan Geometris;"13x12,5;25,5x7";Kaligrafi dan Hiasan;13-May-24;Boks 1
603;I;12 Barat;12 Barat;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;45;15,5;Seluruh Sisi;Panil;Floral & Geometris;"30,5x9,5;13,5x7";Hiasan;29-May-24;Boks 1
604;I;13 Selatan;13 Selatan;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Puncak Kurawal;54;30;"Atas;Bawah";Vas & Panil;Floral dan Geometris;"12,5x12,5;25x7";Kaligrafi dan Hiasan;13-May-24;Boks 1
605;I;14 Barat;14 Barat;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;43,5;15;Seluruh Sisi;Panil;Floral & Geometris;"32x10,5;13,5x7";Hiasan;29-May-24;Boks 1
606;I;15 Utara;15 Utara;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;52;28;"Atas;Bawah";Vas & Panil;Floral dan Geometris;"12x8;25x7";Kaligrafi dan Hiasan;13-May-24;Boks 1
607;I;16 Timur;16 Timur;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Stele;42;14,5;"Atas;Bawah";Panil;Floral & Geometris;"30,5x9,5;13,5x7";Hiasan;13-May-24;Boks 1
608;I (T.Meurade Aloei);1 Utara;1 Utara;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;65;40;Atas;Vas;-;15x13;Kaligrafi dan Hiasan;29-May-24;Boks 1
609;I (T.Meurade Aloei);2 Timur;2 Timur;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Stele;70;26,5;-;-;-;-;Kaligrafi;14-May-24;Boks 1
610;I (T.Meurade Aloei);3 Selatan;3 Selatan;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;65;40;Atas;Vas;-;14,5x12,5;Kaligrafi dan Hiasan;29-May-24;Boks 1
611;I (T.Meurade Aloei);4 Barat;4 Barat;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Stele;70;26,5;-;-;-;-;Kaligrafi;14-May-24;Boks 1
612;I (T.Meurade Aloei);5 Selatan;5 Selatan;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;54;28,5;"Atas;Bawah";Vas & Panil;Floral;"10,5x14;26x5";Kaligrafi dan Hiasan;29-May-24;Boks 1
613;I (T.Meurade Aloei);6 Barat;6 Barat;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;43;18,5;-;-;-;-;Kaligrafi;29-May-24;Boks 1
614;I (T.Meurade Aloei);7 Utara;7 Utara;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;54;28,5;"Atas;Bawah";Vas & Panil;Floral;"10,5x14;26x5";Kaligrafi dan Hiasan;29-May-24;Boks 1
615;I (T.Meurade Aloei);8 Timur;8 Timur;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;46,5;21;Bawah;Panil;Floral;21x12;Kaligrafi dan Hiasan;14-May-24;Boks 1
616;II;1 Utara;1 Utara;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;72;29;"Atas;Tengah;Bawah";Mahkota, Bingkai & Panil;Floral dan Geometris;"23x16;23x37;29x8";Kaligrafi dan Hiasan;13-May-24;Boks 1
617;II;2 Timur;2 Timur;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;49;22;"Atas;Bawah";Mahkota & Panil;Floral dan Geometris;"34x16;22x7";Kaligrafi dan Hiasan;13-May-24;Boks 1
619;II;4 Barat;4 Barat;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;46;24;"Atas;Bawah";Mahkota & Panil;Floral;"33x16;21x10";Kaligrafi dan Hiasan;13-May-24;Boks 1
